_id,spotify_features.danceability,spotify_features.energy,spotify_features.key,spotify_features.loudness,spotify_features.mode,spotify_features.speechiness,spotify_features.acousticness,spotify_features.instrumentalness,spotify_features.liveness,spotify_features.valence,spotify_features.tempo,spotify_features.type,spotify_features.duration_ms,spotify_features.time_signature
5f6a623b61d3b237bb014147,,,,,,,,,,,,,,
5f6a623b61d3b237bb014148,,,,,,,,,,,,,,
5f6a623b61d3b237bb014149,,,,,,,,,,,,,,
5f6a623b61d3b237bb01414a,,,,,,,,,,,,,,
5f6a623b61d3b237bb01414b,0.654,0.902,10,-7.229,1,0.0766,0.00142,0.00788,0.0768,0.441,127.989,audio_features,353123,4
5f6a623b61d3b237bb01414c,0.486,0.949,8,-4.332,1,0.0359,0.000618,0.112,0.372,0.71,129.994,audio_features,367653,4
5f6a623b61d3b237bb01414d,0.465,0.937,5,-4.782,0,0.0357,0.0000872,0.873,0.408,0.662,129.986,audio_features,367009,4
5f6a623b61d3b237bb01414e,,,,,,,,,,,,,,
5f6a623b61d3b237bb01414f,0.657,0.911,10,-4.926,0,0.0424,0.0022,0.000567,0.156,0.443,129.975,audio_features,225470,4
5f6a623b61d3b237bb014150,0.412,0.925,2,-4.845,1,0.204,0.000971,0.354,0.346,0.58,149.833,audio_features,58027,4
5f6a623b61d3b237bb014151,0.381,0.995,4,-4.111,0,0.208,0.000727,0.377,0.0593,0.216,158.909,audio_features,93707,4
5f6a623b61d3b237bb014152,0.304,0.984,5,-4.594,0,0.107,0.000443,0.893,0.233,0.721,160.38,audio_features,132000,4
5f6a623b61d3b237bb014153,0.321,0.957,9,-5.077,0,0.123,0.0000632,0.631,0.0637,0.602,158.174,audio_features,102467,4
5f6a623b61d3b237bb014154,0.337,0.951,11,-5.132,1,0.154,0.00657,0.584,0.124,0.449,167.703,audio_features,126000,4
5f6a623b61d3b237bb014155,0.549,0.875,9,-6.605,1,0.0464,0.000302,0.000501,0.0851,0.399,143.31,audio_features,169293,4
5f6a623b61d3b237bb014156,0.397,0.977,9,-5.666,0,0.0648,0.000223,0.74,0.0573,0.6,154.684,audio_features,106400,4
5f6a623b61d3b237bb014157,0.278,0.987,11,-5.501,0,0.187,0.000072,0.41,0.199,0.329,168.198,audio_features,153933,4
5f6a623b61d3b237bb014158,0.356,0.954,11,-4.558,0,0.105,0.000742,0.282,0.149,0.845,154.092,audio_features,137733,4
5f6a623b61d3b237bb014159,0.337,0.977,11,-5.487,0,0.11,0.000586,0.32,0.732,0.623,172.748,audio_features,95667,4
5f6a623b61d3b237bb01415a,0.261,0.995,0,-5.493,1,0.257,0.000117,0.836,0.121,0.14,168.068,audio_features,144840,4
